x,y,Texture,PH,CEC,Nitrogen,Carbon,Temp,Rainfall,Slope,DEM,NDVI,LULC,LST,Suitability
36.65011375,0.043964457,2,3,4,4,4,4,4,3,3,3,4,3,4
36.65283108,0.018559157,2,3,4,4,4,4,4,4,2,3,4,3,4
36.66670137,0.085136138,2,3,4,4,4,4,4,4,3,3,4,2,4
36.78874735,0.078522033,2,3,4,4,4,4,4,4,3,3,4,3,4
36.64145125,-0.077592345,3,1,4,3,4,4,4,4,2,3,4,3,3
36.76641946,0.014391712,2,3,4,4,4,4,4,4,3,3,4,3,4
36.79107796,0.009022059,2,3,4,4,4,4,4,3,3,3,4,3,4
36.72087795,-0.003142466,4,3,4,4,4,4,4,4,2,3,4,3,4
36.6787063,0.064694145,2,3,4,4,4,4,4,4,3,3,4,3,4
36.64593091,-0.062012662,4,3,4,4,4,4,4,4,2,3,1,3,3
36.64825565,0.068172662,2,3,4,4,4,4,4,4,3,3,4,2,4
36.72163511,0.008405662,2,3,4,4,4,4,4,4,3,3,4,3,4
36.72112144,0.023025502,2,3,4,4,4,4,4,4,3,3,3,3,4
36.70188203,-0.025144988,4,3,4,4,4,4,4,4,2,3,3,2,4
36.65058006,-0.01335774,4,3,4,4,4,4,4,4,2,3,4,3,4
36.7923418,-0.024318395,3,1,4,3,4,4,4,3,3,3,4,3,3
36.68023992,-0.028505546,3,1,4,3,4,4,4,3,2,3,3,2,2
36.74148434,0.00899807,2,3,4,4,4,4,4,4,3,3,4,3,4
36.79671849,-0.045320865,2,1,4,4,4,4,3,4,3,4,2,3,3
36.64680203,0.057026885,3,1,4,3,4,4,4,4,3,3,3,3,3
36.78371351,-0.006470713,2,3,4,4,4,4,4,4,3,3,3,3,4
36.62405743,0.05523086,2,3,4,4,4,4,4,4,2,3,4,3,4
36.75913655,-0.019597441,2,3,4,4,4,4,4,4,3,3,3,2,3
36.7768397,0.055130104,2,3,4,4,4,4,4,4,3,3,4,3,4
36.7206573,-0.008396992,4,3,4,4,4,4,4,3,2,3,4,3,4
36.79898912,0.027305048,2,3,4,4,4,4,4,4,3,3,4,3,4
36.72590232,0.032969822,2,3,4,4,4,4,4,4,3,3,3,3,4
36.66371064,-0.011627433,4,3,4,4,4,4,4,3,2,3,4,3,4
36.69871065,0.075941527,2,3,4,4,4,4,4,4,3,3,4,3,4
36.75492395,0.005324272,2,3,4,4,4,4,4,4,2,3,4,3,4
36.77406152,-0.028609672,3,1,4,3,4,4,4,4,2,3,3,3,3
36.69101047,-0.000936056,4,3,4,4,4,4,4,3,2,3,4,3,4
36.76414393,-0.006862131,2,3,4,4,4,4,4,3,3,3,4,3,4
36.73834643,0.03070012,2,3,4,4,4,4,4,4,3,3,4,3,4
36.73251973,0.049676199,2,3,4,4,4,4,4,4,3,3,4,2,4
36.7943237,-0.028936222,2,3,4,4,4,4,4,4,3,4,4,3,4
36.70127767,0.000479292,4,3,4,4,4,4,4,4,3,3,3,3,4
36.77293757,0.013687237,2,3,4,4,4,4,4,4,3,3,4,3,4
36.67643384,0.012688697,4,3,4,4,4,4,4,4,3,2,4,3,4
36.78090131,0.055779022,2,3,4,4,4,4,4,4,3,3,4,3,4
36.69108611,0.02824653,3,1,4,3,4,4,4,4,3,3,4,3,3
36.7267528,-0.058729808,2,3,4,4,4,4,4,4,2,3,3,3,3
36.64060082,-0.023724798,3,1,4,3,4,4,4,3,2,3,4,3,3
36.64682831,-0.071142448,3,1,4,3,4,4,4,4,2,2,3,3,2
36.7802428,-0.009229569,2,3,4,4,4,4,4,4,3,3,3,3,3
36.78326311,0.072999358,2,3,4,4,4,4,4,4,3,3,4,3,4
36.78863307,-0.001831804,2,3,4,4,4,4,4,4,3,3,3,3,4
36.69793277,0.070897516,2,3,4,4,4,4,4,4,3,3,4,3,4
36.70348533,0.069531552,2,3,4,4,4,4,4,4,3,3,4,3,4
36.7509838,0.027395017,2,3,4,4,4,4,4,3,3,3,4,3,4
36.68748691,-0.021636173,3,1,4,3,4,4,4,3,2,3,4,3,3
36.65171298,0.061198745,3,1,4,3,4,4,4,4,3,3,3,2,3
36.78672488,-0.049806187,2,1,4,4,4,4,3,2,3,3,4,3,2
36.66405176,0.045145936,2,3,4,4,4,4,4,4,3,2,1,3,3
36.64158211,0.086090643,2,3,4,4,4,4,4,4,3,2,4,3,4
36.71237802,0.030040039,2,3,4,4,4,4,4,4,3,3,3,3,4
36.71431756,-0.041483243,4,3,4,4,4,4,4,4,2,3,3,3,4
36.67716574,-0.043864727,4,3,4,4,4,4,4,4,2,3,3,3,4
36.65894114,0.085959117,2,3,4,4,4,4,4,4,3,2,3,2,3
36.72374241,0.026860091,2,3,4,4,4,4,4,4,3,3,3,3,4
36.72151626,0.056427507,2,3,4,4,4,4,4,4,3,3,4,3,4
36.68354325,-0.01639652,4,3,4,4,4,4,4,4,2,3,4,3,4
36.62675393,-0.0610882,3,1,4,3,4,4,3,4,2,3,4,3,3
36.64290687,0.020756267,2,3,4,4,4,4,4,4,2,3,4,3,4
36.672676,-0.08165098,4,3,4,4,4,4,4,4,2,3,3,3,4
36.68709888,-0.049834608,4,3,4,4,4,4,4,4,2,3,3,3,4
36.7053739,0.065268604,2,3,4,4,4,4,4,3,3,3,2,3,4
36.78097724,0.003135326,2,3,4,4,4,4,4,4,3,3,1,3,3
36.67381614,-0.008746729,4,3,4,4,4,4,4,4,2,3,4,3,4
36.63000973,-0.054473685,3,1,4,3,4,4,3,4,2,3,4,3,3
36.68343098,-0.080354977,4,3,4,4,4,4,4,4,2,3,1,3,3
36.73437239,0.056918103,2,3,4,4,4,4,4,4,3,3,4,3,4
36.72601262,-0.073580787,4,3,4,4,4,4,4,4,2,3,3,3,4
36.68229607,0.079182842,2,3,4,4,4,4,4,3,3,3,4,3,4
36.68516599,0.01511225,2,3,4,4,4,4,4,3,3,3,4,3,4
36.75711009,-0.073962376,2,1,4,4,4,4,4,4,2,3,4,3,3
36.62506967,0.070986919,2,3,4,4,4,4,4,4,3,3,4,2,4
36.61784361,-0.029645052,3,1,4,4,4,4,4,4,2,3,3,3,3
36.70623579,-0.037967174,4,3,4,4,4,4,4,4,2,3,3,2,4
36.70194554,0.078478968,2,3,4,4,4,4,4,4,3,3,4,3,4
36.64243458,0.04819404,3,1,4,3,4,4,4,4,3,4,3,3,3
36.6205754,0.017163277,3,1,4,4,4,4,4,4,2,3,3,3,3
36.78969409,-0.075411065,2,3,4,4,4,4,3,3,3,3,2,3,3
36.71612788,0.079444135,3,1,4,3,4,4,4,4,3,2,4,3,3
36.74159515,0.03226163,2,3,4,3,4,4,4,4,3,3,4,3,4
36.67211151,0.077791029,3,1,4,3,4,4,4,3,3,3,4,2,3
36.65205104,0.065166154,2,3,4,4,4,4,4,4,3,3,3,2,3
36.74023283,0.003193429,2,3,4,4,4,4,4,4,3,3,4,3,4
36.68046606,-0.02406012,3,1,4,3,4,4,4,4,2,3,4,3,3
36.68406385,0.065935022,2,3,4,4,4,4,4,4,3,3,4,3,4
36.69692843,0.059935668,2,3,4,4,4,4,4,4,3,3,4,3,4
36.74930526,-0.012412122,2,3,4,4,4,4,4,4,3,3,3,3,4
36.66705473,-0.051586397,4,3,4,4,4,4,4,4,2,3,3,3,4
36.65282457,-0.026326062,4,3,4,4,4,4,4,4,2,3,4,3,4
36.65921563,-0.009436741,4,3,4,4,4,4,4,4,2,3,4,3,4
36.6820673,0.029082049,3,1,4,3,4,4,4,4,2,3,3,3,3
36.65401273,0.010975268,4,3,4,4,4,4,4,4,2,3,4,3,3
36.67854517,-0.060983559,4,3,4,4,4,4,4,4,2,3,3,3,4
36.6442306,-0.054204846,4,3,4,4,4,4,4,4,2,3,3,3,4
36.79045637,0.088655432,2,3,4,4,4,4,4,4,3,3,4,3,4
36.64258387,0.088888208,2,3,4,4,4,4,4,4,3,2,4,3,4
36.66464961,0.091725944,2,3,4,4,4,4,4,4,3,3,4,2,4
36.74329455,0.096044725,2,3,4,4,4,4,3,4,3,3,4,3,4
36.66881069,0.094128952,2,3,4,4,4,4,4,4,3,3,4,2,4
36.72918295,0.087154444,3,1,4,3,4,4,3,4,3,3,4,3,3
36.76729141,0.087970916,2,3,4,4,4,4,4,4,3,3,4,3,4
36.68675214,0.089681577,3,1,4,4,4,4,4,4,3,3,4,3,4
36.77867891,0.101136849,2,3,4,4,4,4,4,4,3,3,4,3,4
36.65895039,0.102045979,2,3,4,4,4,4,4,4,3,3,4,2,4
36.78919076,0.100836883,2,3,4,4,4,4,4,4,3,3,4,3,4
36.83795529,0.025672943,2,3,4,4,4,4,4,3,3,3,4,3,4
36.80962612,-0.051866858,2,1,4,4,4,4,4,3,3,3,3,3,3
36.88716103,0.06425407,3,1,4,3,4,4,4,4,3,3,4,3,3
36.87347807,-0.059150793,2,3,4,4,4,4,3,4,3,2,3,3,3
36.88109737,-0.004341345,2,3,4,4,4,4,3,4,3,3,4,3,4
36.95212989,0.004430488,2,3,4,4,4,4,4,4,3,3,4,3,4
36.86845009,0.008803059,2,3,4,4,4,4,4,4,3,3,4,3,4
36.82150652,-0.039777409,2,3,4,4,4,4,4,4,3,3,2,4,4
36.94644377,0.050654067,2,3,4,3,4,4,3,4,4,3,4,3,4
